1,1,0,5,,,,,,,,,,,,,
1,10,20,9.09,,,1,10,100,1000,10000,100000,500000,1000000,,,
1,100,21,13.89,,1,5,9.09,13.89,13.62,13.55,13.33,13.62,13.59,,,
1,1000,22.5,13.62,,2,1.43,7.69,17.24,18.76,26.94,26.71,26.93,26.58,,,7.835393624
1,10000,23.13,13.55,,4,1.11,10,20.83,36.9,38.17,53.5,53.42,53.17,,,
1,100000,23.28,13.33,,8,0.67,8.33,47.62,70.92,71.63,106.8,106.7,106.5,,,
1,500000,23.3,13.62,,,,,,,,,,,,,
1,1000000,23.15,13.59,,,,,,,,,,,,,
2,1,0,1.43,,Cores| Numbers of Trials,1,10,100,1000,10000,100000,500000,1000000,,,
2,10,20,7.69,,1,5,9.09,13.89,13.62,13.55,13.33,13.62,13.59,,,
2,100,26,17.24,,2,1.43,7.69,17.24,18.76,26.94,26.71,26.93,26.58,,,29.0625
2,1000,24,18.76,,4,1.11,10,20.83,36.9,38.17,53.5,53.42,53.17,,,
2,10000,22.85,26.94,,8,0.67,8.33,47.62,70.92,71.63,106.8,106.7,106.5,,,
2,100000,23.3,26.71,,,,,,,,,,,,,
2,500000,23.24,26.93,,,,,,,,,,,,,
2,1000000,23.18,26.58,,,,,,,,,,,,,
4,1,0,1.11,,,,,,,,,,,,,
4,10,30,10,,,,,,,,,,0.1277,,,
4,100,25,20.83,,,,,,,,,0.8723,,,,
4,1000,24.6,36.9,,,,,,,,,,,,,
4,10000,23.98,38.17,,,,,,,,,,,,,
4,100000,23.18,53.5,,,,,,,,,,,,,
4,500000,23.18,53.42,,,,,,,,,,,,,
4,1000000,23.19,53.17,,,,,,,,,,,,,
8,1,0,0.67,,,,,,,,,,,,,
8,10,30,8.33,,,,,,,,,,,,,
8,100,32,47.62,,,,,,,,,,,,,
8,1000,26.1,70.92,,,,,,,,,,,,,
8,10000,23.32,71.63,,,,,,,,,,,,,
8,100000,22.98,106.8,,,,,,,,,,,,,
8,500000,23.19,106.7,,,,,,,,,,,,,
8,1000000,23.19,106.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
